Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Lilongwe,382,503,Lilongwe,S.24/1993,5,19/1/1998,20/1/1993,N/A,NWRA,416.00,Balitse Dam,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Lilongwe,286,678,Lilongwe,S.23/1993,5,19/1/1998,20/1/1993,N/A,NWRA,416.00,Namitete River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Lilongwe,355,566,Lilongwe,S.21/1993,5,19/1/1998,20/1/1993,N/A,NWRA,416.00,Namitete River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Lilongwe,592,396,Lilongwe,S.20/1993,5,19/1/1998,20/1/1993,N/A,NWRA,416.00,Likuni River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Lilongwe,336,994,Lilongwe,S.19/1993,5,19/1/1998,20/1/1993,N/A,NWRA,144.00,Namitete River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Lilongwe,555,395,Lilongwe,S.18/1993,5,19/1/1998,20/1/1993,N/A,NWRA,360.00,Likuni River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Lilongwe,542,395,Lilongwe,S.17/1993,5,19/1/1998,20/1/1993,N/A,NWRA,288.00,Likuni River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Mzimba,288,335,Mzimba,S.16/1993,5,19/1/1998,20/1/1993,N/A,NWRA,200.00,Dam,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Kasungu,845,510,Kasungu,S.15/1993,5,19/1/1998,20/1/1993,N/A,NWRA,216.00,Bua River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Kasungu,845,510,Kasungu,S.14/1993,5,19/1/1998,20/1/1993,N/A,NWRA,216.00,Bua River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Mzimba,445,502,Mzimba,S.13/1993,5,19/1/1998,20/1/1993,N/A,NWRA,416.00,Dam,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Mzimba,288,335,Mzimba,S.12/1993,5,19/1/1998,20/1/1993,N/A,NWRA,200.00,Dam,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Mzimba,011,800,Mchinji,S.11/1993,5,19/1/1998,20/1/1993,N/A,NWRA,416.00,Ludzi River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Kasungu,721,639,Kasungu,S7/1992,5,N/A,N/A,N/A,NWRA,190.00,Dam on Limamba,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Kasungu,752,700,Kasungu,S.5/1992,5,N/A,N/A,N/A,NWRA,200.00,Un named River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Mzimba,280,345,Mzimba,S.4/1992,5,N/A,N/A,N/A,NWRA,16.00,Un named River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Mchinji,269,550,Mchinji,S.1/1992,5,N/A,N/A,N/A,NWRA,250.00,Nthumbule River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Kasungu,811,554,Kasungu,S.18/1991,5,N/A,N/A,N/A,NWRA,240.00,Dam,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Kasungu,832,598,Kasungu,S.17/1991,5,N/A,N/A,N/A,NWRA,200.00,Dam,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Kasungu,814,931,Kasungu,S.16/1991,5,N/A,N/A,N/A,NWRA,200.00,Dam,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Kasungu,370,663,Kasungu,S.4/1991,5,N/A,N/A,N/A,NWRA,9.25,Nthema Dam,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Lilongwe,578,444,Lilongwe,S10/1990,5,N/A,N/A,N/A,NWRA,1000.00,Kakoma Dam,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Kasungu,468,152,Kasungu,S.9/1990,5,N/A,N/A,N/A,NWRA,200.00,Bua River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Kasungu,488,204,Kasungu,S.8/1990,5,N/A,N/A,N/A,NWRA,200.00,Bua River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Mzimba,930,458,Mzimba,S.7/1990,5,N/A,N/A,N/A,NWRA,200.00,Limnyangwa,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Mchinji,849,009,Mchinji,S.16/1982,5,N/A,N/A,N/A,NWRA,15.40,Liwelezi,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Mwanza,626,695,Mwanza,S.4/1987,5,N/A,N/A,N/A,NWRA,1837.00,Mwanza River ,Irrigation, xxx ," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/172,Press Agriculture Limited ,Kulima House,Chief Executive Officer ,01253555/041/042/043,pal@palku.mw,Private Bag B352,Mulanje,633,724,Mulanje,S.4/1989,5,N/A,N/A,N/A,NWRA,1821.00,Lichenya,Irrigation, xx ," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/107,Sisters of Our Lady of Africa MUA LEPROSARIUM),,N/A,N/A,N/A,"Dedza Diocese, PO Box 80, Dedza",,"-14""34'133",630212,Dedza,GL148/71,5,N/A,N/A,N/A,N/A,590,Namidzokwe,"Domestic, Irrigation, Power",10000,200000,,,,,,,,,,
Surface Water,NWRA/172A,East African Plantations ,N/A,N/A,N/A,N/A,P.O.Box 31,,0560489,8560402,Kasungu,SL10/1989,5,30/3/2025,4/5/1989,N/A,NWRA,500.00,Kamwankhuku River,Irrigation," 10,000.00 "," 200,000.00 ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Surface Water,NWRA/172A,East African Plantations ,N/A,N/A,N/A,N/A,P.O.Box 31,,0561732,8563368,Kasungu,SL11/1989,5,30/3/2025,4/5/1989,N/A,NWRA,4761.00,Kamwankhuku River,Irrigation," 50,655.85 "," 200,000.00 ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Surface Water,NWRA/172A,East African Plantations ,N/A,N/A,N/A,N/A,P.O.Box 31,,0559100,8563995,Kasungu,SL12/1089,5,30/3/2025,4/5/1989,N/A,NWRA,190.00,Kamwankhuku River,Irrigation," 10,000.00 "," 200,000.00 ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Surface Water,NWRA/172A,East African Plantations ,N/A,N/A,N/A,N/A,P.O.Box 31,,0560092,8563111,Kasungu,SL38/1989,5,30/3/2025,4/5/1989,N/A,NWRA,226.00,Kamwankhuku River,Irrigation," 10,000.00 "," 200,000.00 ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Surface Water,NWRA/174,Njuli Coffee Estate,Plot No.88/62 Njuli,N/A,N/A,N/A,"P.O.Box ,Njuli",Njuli,287,653,Zomba,S.292/1971,5,26/02/1997,29/7/1971,N/A,NWRA,15.14,Spring ,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/174,Njuli Coffee Estate,Plot No.88/62 Njuli,N/A,N/A,N/A,"P.O.Box ,Njuli",Njuli,287,663,Zomba,S.291/1971,5,26/02/1997,29/7/1971,N/A,NWRA,15.14,Spring ,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/174,Njuli Coffee Estate,Plot No.88/62 Njuli,N/A,N/A,N/A,"P.O.Box ,Njuli",Njuli,287,659,Zomba,S.290/1971,5,26/02/1997,29/7/1971,N/A,NWRA,15.14,Spring ,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/174,Njuli Coffee Estate,Plot No.88/62 Njuli,N/A,N/A,N/A,"P.O.Box ,Njuli",Njuli,288,653,Zomba,S.287/1971,5,26/02/1997,29/7/1971,N/A,NWRA,17.16,Spring ,Domestic/Industria," 20,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/174,Njuli Coffee Estate,Plot No.88/62 Njuli,N/A,N/A,N/A,"P.O.Box ,Njuli",Njuli,285,647,Zomba,S.288/1971,5,26/02/1997,29/7/1971,N/A,NWRA,7.60,Spring ,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/174,Njuli Coffee Estate,Plot No.88/62 Njuli,N/A,N/A,N/A,"P.O.Box ,Njuli",Njuli,277,658,Zomba,S.289/1971,5,26/02/1997,29/7/1971,N/A,NWRA,15.14,Spring ,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/181,Juchi and Company,Namwera,N/A,N/A,N/A,"C/O  Coopers and Lybrand,P.O.Box 530",Namwera,N/A,N/A,Mangochi,S.722/1976,5,N/A,N/A,N/A,NWRA,46.00,Luchimwa River,Iriigation," 10,000.00 "," 200,000,00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/181,Juchi and Company,Namwera,N/A,N/A,N/A,"C/O  Coopers and Lybrand,P.O.Box 531",Namwera,N/A,N/A,Mangochi,S.724/1976,5,N/A,N/A,N/A,NWRA,46.00,Chipumulo River,Iriigation," 10,000.00 "," 200,000,00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/186B,Pyxus Agriculture Limited,Kanengo,Andrew Thorneycroft,0995186125/01710056,tchidzanja@pyxus.com,P.O.Box 30522,Manondo,-13685286,33.789523,Dowa,S.347/2021,5,29/9/2026,30/9/2021,N/A,NWRA,N/A,Kankhombwa River ,Irrigation," 10,000.00 ", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A 
Surface Water,NWRA/186B,Pyxus Agriculture Limited,Kanengo,Andrew Thorneycroft,0995186125/01710056,tchidzanja@pyxus.com,P.O.Box 30522,Manondo,-13685286,33.789523,Dowa,S.347/2022A,5,29/9/2027,30/9/2022,N/A,NWRA,10.00,Kankhombwa River ,Weir Impoundent," 10,000.00 ", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A 
Surface Water,NWRA/186B,Pyxus Agriculture Limited,Kanengo,Andrew Thorneycroft,0995186125/01710056,tchidzanja@pyxus.com,P.O.Box 30522,Kasiya 3,-13.685953,33.367445,Lilongwe,S.348/2021,5,29/9/2026,30/9/2021,N/A,NWRA,N/A,Naluva Stream ,Irrigation," 10,000.00 ", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A 
Surface Water,NWRA/186B,Pyxus Agriculture Limited,Kanengo,Andrew Thorneycroft,0995186125/01710056,tchidzanja@pyxus.com,P.O.Box 30522,Kasiya 4,-13.685953,33.367445,Lilongwe,S.348/2021A,5,29/9/2026,30/9/2021,N/A,NWRA,N/A,Naluva Stream ,Weir Impoundent," 10,000.00 ", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A 
Surface Water,NWRA/186B,Pyxus Agriculture Limited,Kanengo,Andrew Thorneycroft,0995186125/01710056,tchidzanja@pyxus.com,P.O.Box 30522,Mitundu 4,-14.292733,33.730438,Lilongwe,S.349/2021,5,29/9/2026,30/9/2021,N/A,NWRA,N/A,Chanyumbu Stream,Irrigation," 10,000.00 ", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A 
Surface Water,NWRA/186B,Pyxus Agriculture Limited,Kanengo,Andrew Thorneycroft,0995186125/01710056,tchidzanja@pyxus.com,P.O.Box 30522,Mitundu 4,-14.292733,33.730438,Lilongwe,S.349/202A,5,29/9/2026,30/9/2021,N/A,NWRA,N/A,Chanyumbu Stream,Weir Impoundent," 10,000.00 ", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A 
Surface Water,NWRA/186B,Pyxus Agriculture Limited,Kanengo,Andrew Thorneycroft,0995186125/01710056,tchidzanja@pyxus.com,P.O.Box 30522,Mitundu 4,-14.29194,33.730773,Lilongwe,S.350/2021,5,29/9/2026,30/9/2021,N/A,NWRA,N/A,Chinyumbu River 2,Irrigation," 10,000.00 ", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A 
Surface Water,NWRA/186B,Pyxus Agriculture Limited,Kanengo,Andrew Thorneycroft,0995186125/01710056,tchidzanja@pyxus.com,P.O.Box 30522,Mitundu 4,-14.29194,33.730773,Lilongwe,S.350/2021A,5,29/9/2026,30/9/2021,N/A,NWRA,N/A,Chinyumbu River 2,Weir Impoundent," 10,000.00 ", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A 
Surface Water,NWRA/186B,Pyxus Agriculture Limited,Kanengo,Andrew Thorneycroft,0995186125/01710056,tchidzanja@pyxus.com,P.O.Box 30522,Mondwe 4,-13.5262148,33.5352566,Dowa,S.351/2021,5,29/9/2026,30/9/2021,N/A,NWRA,N/A,Chakanga River( ,Irrigation," 10,000.00 ", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A 
Surface Water,NWRA/186B,Pyxus Agriculture Limited,Kanengo,Andrew Thorneycroft,0995186125/01710056,tchidzanja@pyxus.com,P.O.Box 30522,Mondwe 4,-13.5262148,33.5352566,Dowa,S.351/2021A,5,29/9/2026,30/9/2021,N/A,NWRA,N/A,Chakanga River,Weir Impoundent," 10,000.00 ", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A 
Surface Water,NWRA/186B,Pyxus Agriculture Limited,Kanengo,Andrew Thorneycroft,0995186125/01710056,tchidzanja@pyxus.com,P.O.Box 30522,Malomo,-13.094606,33.838121,Kasungu,S.352/2021,5,29/9/2026,30/9/2021,N/A,NWRA,N/A,Kanyulunyulu River,Irrigation," 10,000.00 ", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A 
Surface Water,NWRA/186B,Pyxus Agriculture Limited,Kanengo,Andrew Thorneycroft,0995186125/01710056,tchidzanja@pyxus.com,P.O.Box 30522,Malomo,-13.094606,33.838121,Kasungu,S.352/2021A,5,29/9/2026,30/9/2021,N/A,NWRA,N/A,Kanyulunyulu River,Weir Impoundent," 10,000.00 ", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A 
Surface Water,NWRA/186B,Pyxus Agriculture Limited,Kanengo,Andrew Thorneycroft,0995186125/01710056,tchidzanja@pyxus.com,P.O.Box 30522,Lupapya,-12.88167782,33.66610838,Kasungu,S.353/2021,5,29/9/2026,30/9/2021,N/A,NWRA,N/A,Chafisi River,Irrigation," 10,000.00 ", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A 
Surface Water,NWRA/186B,Pyxus Agriculture Limited,Kanengo,Andrew Thorneycroft,0995186125/01710056,tchidzanja@pyxus.com,P.O.Box 30522,Lupapya,-12.88167782,33.66610838,Kasungu,S.353/2021A,5,29/9/2026,30/9/2021,N/A,NWRA,N/A,Chafisi River,Weir Impoundent," 10,000.00 ", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A 
Surface Water,NWRA/186B,Pyxus Agriculture Limited,Kanengo,Andrew Thorneycroft,0995186125/01710056,tchidzanja@pyxus.com,P.O.Box 30522,Lupapya,-12.90880515,33.68724271,Kasungu,S.354/2021,5,29/9/2026,30/9/2021,N/A,NWRA,N/A,Chindozi River,Irrigation," 10,000.00 ", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A 
Surface Water,NWRA/186B,Pyxus Agriculture Limited,Kanengo,Andrew Thorneycroft,0995186125/01710056,tchidzanja@pyxus.com,P.O.Box 30522,Lupapya,-12.90880515,33.68724271,Kasungu,S.354/2021A,5,29/9/2026,30/9/2021,N/A,NWRA,N/A,Chindozi River,Weir Impoundent," 10,000.00 ", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A 
Surface Water,NWRA/186B,Pyxus Agriculture Limited,Kanengo,Andrew Thorneycroft,0995186125/01710056,tchidzanja@pyxus.com,P.O.Box 30522,Chatoloma,-12.733256,33.47516,Kasungu,S.355/2021,5,29/9/2026,30/9/2021,N/A,NWRA,N/A,Kasiwa River,Irrigation," 10,000.00 ", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A 
Surface Water,NWRA/186B,Pyxus Agriculture Limited,Kanengo,Andrew Thorneycroft,0995186125/01710056,tchidzanja@pyxus.com,P.O.Box 30522,Chatoloma,-12.733256,33.47516,Kasungu,S.355/2021A,5,29/9/2026,30/9/2021,N/A,NWRA,N/A,Kasiwa River,Weir Impoundent," 10,000.00 ", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A 
Surface Water,NWRA/192,"DT Kalatzis, Makoka Estate","Namadzi, Chiladzulu",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NWRA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/199,Tobacco East,N/A,N/A,N/A,N/A,"P.O.Box 5147,Limbe",BUA,174,655,Kasungu,N/A,5,N/A,N/A,N/A,NWRA,552.00,Bua River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/208 A,Bawi Estates,N/A,N/A,N/A,N/A,"C/O Major Genral Khanga,P.O.Box48,Salima",N/A,329,702,Balaka,S.945/1979,5,N/A,N/A,,NWRA,12.30,Kapeya River,N/A," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/208 A,Bawi Estates,N/A,N/A,N/A,N/A,"C/O Major Genral Khanga,P.O.Box48,Salima",N/A,520,403,Balaka,S.946/1979,5,N/A,N/A,,NWRA,272.76,Luwelele River,N/A," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/217,Kamuzu Millitary College,N/A,N/A,N/A,N/A,P.O.Box 48,N/A,720,723,Salima,S.636/1979,5,4/10/1997,N/A,,NWRA,6.80,Lake Malawi,Domestic," 10,000.00 "," 200,000.00 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/217,Kamuzu Millitary College,N/A,N/A,N/A,N/A,P.O.Box 48,N/A,729,729,Salima,S.946/1979,5,1982,N/A,,NWRA,60.00,Tributory of Luwelele,Irrigation," 10,000.00 "," 200,000.00 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/218,Living stonia Beach Hotel,N/A,N/A,,N/A,P.O.Box 11,Senga-Bay,759,831,Salima,S.653/1976,5,29/9/2026,7/2/1992,,NWRA,29.00,Lake Malawi,Domestic/Industrial/Irrigation," 30,000.00 "," 200,000.00 ",No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/221,Nkopola Lodge,N/A,N/A,N/A,N/A,P.O.Box 14,Koche,314,166,Mangochi,S.632/1975,5,N/A,N/A,,NWRA,45.00,Lake Malawi,Domestic," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/222,Eden Estate,"Airwing, Lilongwe",Mr Pan,N/A,,"Box 242, Lilongwe","Airwing, Lilongwe",N/A,N/A,Dedza,SL630/1976,5,19/3/2013,20/3/2008,,NWRA,11,Makanda river,Irrigation," 10,000.00 "," 200,000.00 ",no,no,no,no,no,no,no,no,no,no
Surface Water,NWRA/225,Cholansanu Estate ,Limbe,Tobias John Samu Banda,N/A,N/A,P.O.Box 5963,Chosalansanu Esate,363,348,Lilongwe,S.4/1976,5,N/A,N/A,,NWRA,115.08,Mthirirakuwiri Stream,Irrigation/Domestic," 20,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/236,"JDB Investiments, Whistlers Cottage","Likasi Estate, Mchinji",N/A,N/A,N/A,"Likasi Estate, Box 58, Namitete","Likasi Estate, Mchinji",501704,846065,Mchinji,SL17/2015,1,8/12/2016,9/12/2015,,NWRA,6.7,Luwelezi River,Irrigation," 10,000.00 "," 200,000.00 ",no,no,no,no,no,no,no,no,,
Surface Water,NWRA/236,"JDB Investiments, Whistlers Cottage","Likasi Estate, Mchinji",N/A,N/A,N/A,"Likasi Estate, Box 58, Namitete","Likasi Estate, Mchinji",671481,8471297,Salima,SL18/2015,1,8/12/2016,9/12/2015,,NWRA,1.0,Lake Malawi,Domestic," 10,000.00 "," 200,000.00 ",no,no,no,no,no,no,no,no,,
Surface Water,NWRA/236,"JDB Investiments, Whistlers Cottage","Likasi Estate, Mchinji",N/A,N/A,N/A,"Likasi Estate, Box 58, Namitete","Likasi Estate, Mchinji",5017004,846065,Lilongwe,SL680/1976,1,8/12/2016,9/12/2015,,NWRA,6651.0,Buwa River,Irrigation," 77,440.92 "," 200,000.00 ",no,no,no,no,no,no,no,no,,
Surface Water,NWRA/257,Namangandwe Estate,"Namwera, Mangochi",N/A,N/A,N/A,"Box 21, Namwera","Namwera, Mangochi",N/A,N/A,Mangochi,SL803/1977,N/A,N/A,N/A,,NWRA,184.12,Masongwe river,Domestic/Irrigation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/260,Mchaisi Estate Limited,Kaphiri Mchinji,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/295,Sinoya Lefuu,N/A,N/A,N/A,N/A,"Box 937, Blantyre",N/A,N/A,N/A,N/A,GL2236/1979,N/A,N/A,N/A,,NWRA,12.7290576,,,,,,,,,,,,,,
Surface Water,FILE,Licence holder,,,,,,LOCATION,COORDINATES,,DISTRCIT,GRANT NUMBER,,,,,,,,,,,,,,,,,,,,
Surface Water,,,Physical Adress / Plot Number,CONTACT PERSON,PHONE CONTACTS,EMAIL ADDRESS,MAILING ADDRESS,,X,Y,,,Duration (YRS),Expiry Date,Registration Date/Renewal,,Name of Granter,Volume (M3/Day,Source,Use ,Expected Annual rental ,Expected renewal fee,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Surface Water,WRA/301,Mr F. Sapao,Ngamanya Estate,NA,NA,NA,"Box 923, Blantyre",NA,NA,NA,NA,SL929/1979,5,4/10/1990,4/10/1980,,NWRA, 3.00 ,NA,Irrigation,,,,,,,,,,,,
Surface Water,WRA/302,Malopa Stores,NA,C.M Gondwe,NA,NA,"Box 7, Rumphi",NA,NA,NA,Rumphi,SL949/1979,5,4/10/1990,4/10/1980,,NWRA, 5.00 ,Mpangara Stream,Domestic,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/303,Kanyazi Estate,Stephen Boston Yoramu,NA,NA,NA,"Box 16, Mzuzu",nA,NA,NA,Mzuzu,SL933/1979,5,4/10/1990,4/10/1980,,NWRA, 3.00 ,Luwazi Stream,Domestic," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
