COUNT,FILE,Licence holder,,,,,,LOCATION,,COORDINATES,,DISTRCIT,GRANT NUMBER,,,,,,,,Expected Annual rental ,Expected renewal fee,YEARS IN ARREAR,,,,,,,,,
Ground Water,NWRA/1284,Sovereign Services LTD.,,,,,"Box 30523, CC, LL15",Mpinang'ombe ,,530317,8484666,Lilongwe,GL827/2023,5,10/11/2028,23/11/2023,NWRA,0.0015,Borehole,Monitoring well,,,,,,,,,,,,
Ground Water,NWRA/1284,Sovereign Services LTD.,,,,,"Box 30523, CC, LL15",Makumbi,,529566,8484102,Lilongwe,GL828/2023,5,10/11/2028,23/11/2023,NWRA,0.0015,Borehole,Monitoring well,,,,,,,,,,,,
Ground Water,NWRA/1284,Sovereign Services LTD.,,,,,"Box 30523, CC, LL15",Katenthe,,529400,8482662,Lilongwe,GL829/2023,5,10/11/2028,23/11/2023,NWRA,0.0015,Borehole,Monitoring well,,,,,,,,,,,,
Ground Water,NWRA/1284,Sovereign Services LTD.,,,,,"Box 30523, CC, LL15",Sitambo,,532034,8487937,Lilongwe,GL830/2023,5,10/11/2028,23/11/2023,NWRA,0.0015,Borehole,Monitoring well,,,,,,,,,,,,
Ground Water,NWRA/1285,Pediatric Surgery Trust,Plot No. BE 343,N/A,N/A,N/A,"c/o QECH, Box 95, Blantyre",Plot No. BE 343,,N/A,N/A,Blantyre,GL62/2018,5,1/4/2020,1/4/2019,NWRA,1.5,Borehole,Industrial,"10,000.00","290,000.00",no,no,no,no,no,,,,,
Ground Water,NWRA/1286,Peter Jimusole,Nkhatabay,Peter Jimusole ,N/A,N/A,"Box 1, Ntchisi",Chimbwanda Village,,600129,8525331,Ntchisi,GL63/2018,5,1/4/2020,1/4/2019,NWRA,1,Borehole,Industrial/Irrigation,"20,000.00","290,000.00",no ,no ,no ,no ,no ,,,,,
Ground Water,NWRA/1287,Eluby Aggrey Chirwa,Area 12/530 (Near Mlambe Lodge),Eluby Aggrey Chirwa,N/A,N/A,"Box 30227, Lilongwe 3",Area 12/530 (Near Mlambe Lodge),,N/A,N/A,Lilongwe,GL65/2018,5,1/4/2020,1/4/2019,NWRA,2,Borehole,Irrigation,"10,000.00","290,000.00",no,no,no,no,no,,,,,
Ground Water,NWRA/1289,Empire Group (pvt) LTD.,Plot No. 29/189 (Kanengo),Mrs B. J. Kamanga,0999317524/0999273192,mike@empire-gadgets.com,"Box 31586, Lilongwe",Plot No. 29/189,,N/A,N/A,Lilongwe,GL67/2018,5,1/4/2020,1/4/2019,NWRA,1.8,Borehole,Industrial,"10,000.00","290,000.00",no,no,no,no,no,,,,,
Ground Water,NWRA/1290,Kamkodola LEA School,"Mtandire, Lilongwe",Andrew Sinyalo,0999626760/0888605344,N/A,"P/Bag 115, Lilongwe","Mtandire, Lilongwe",,579352,8458347,Lilongwe,GL68/2018,5,30/3/2025,1/4/2020,NWRA,1.5,Borehole,Domestic, -   , -   ,,,,,,,,,,
Ground Water,NWRA/1291,Jaghayagha Jaranthowa Mkandawire,Plot No. 22/7/44,Jaghayagha Jaranthowa Mkandawire,N/A,N/A,"Box 30982, Lilongwe 3",Plot No. 22/7/44,,N/A,N/A,Lilongwe,GL69/2018,5,1/4/2020,1/4/2019,NWRA,2,Borehole,Irrigation,"10,000.00","290,000.00",no,no,no,no,no,,,,,
Ground Water,NWRA/1292A,Ratesh Saliam,Plot No. 10/2/5,N/A,N/A,N/A,"Box X143, Crossroads, Lilongwe",Plot No. 10/2/5,,566464,8453802,Lilongwe,GL70/2018,5,1/4/2020,1/4/2019,NWRA,5,Borehole,Domestic/Irrigation,"20,000.00","290,000.00",no,no,no,no,no,,,,,
Ground Water,NWRA/1293,Kasungu CCAP Nkhoma Synod,Kasungu CCAP,Gelisomo Banda/Rev. Kaliza,N/A,N/A,"Box 60, Kasungu",Kasungu CCAP,,552001.93,8557137.12,Kasungu,GL74/2018,5,1/4/2020,1/4/2019,NWRA,5,Borehole,Domestic,"10,000.00","290,000.00",no,no,no,no,no,,,,,
Ground Water,NWRA/1294,FISD Company LTD.,Kanengo,Arthur Mpama,999046565,abmpama@yahoo.co.uk,"Box 31245, Lilongwe 3",Chikwawa,,716612,8197789,Chikwawa,GL85/2018,5,1/4/2020,1/4/2019,NWRA,276,Borehole,Irrigation,"10,000.00","290,000.00",no,no,no,no,no,,,,,
Ground Water,NWRA/1294,FISD Company LTD.,Kanengo,Arthur Mpama,999046566,abmpama@yahoo.co.uk,"Box 31245, Lilongwe 4",Chikwawa,,716704,8197882,Chikwawa,GL84/2018,5,1/4/2020,1/4/2019,NWRA,276,Borehole,Irrigation,"10,000.00","290,000.00",no,no,no,no,no,,,,,
Ground Water,NWRA/1294,FISD Company LTD.,Kanengo,Arthur Mpama,999046567,abmpama@yahoo.co.uk,"Box 31245, Lilongwe 5",Chikwawa,,716444,8162112,Chikwawa,GL83/2018,5,1/4/2020,1/4/2019,NWRA,84,Borehole,Irrigation,"10,000.00","290,000.00",no,no,no,no,no,,,,,
Ground Water,NWRA/1294,FISD Company LTD.,Kanengo,Arthur Mpama,999046568,abmpama@yahoo.co.uk,"Box 31245, Lilongwe 6",Chikwawa,,716508,8162158,Chikwawa,GL82/2018,5,1/4/2020,1/4/2019,NWRA,84,Borehole,Irrigation,"10,000.00","290,000.00",no,no,no,no,no,,,,,
Ground Water,NWRA/1294,FISD Company LTD.,Kanengo,Arthur Mpama,999046569,abmpama@yahoo.co.uk,"Box 31245, Lilongwe 7",Chikwawa,,716571,8162096,Chikwawa,GL81/2018,5,1/4/2020,1/4/2019,NWRA,180,Borehole,Irrigation,"10,000.00","290,000.00",no,no,no,no,no,,,,,
Ground Water,NWRA/1294,FISD Company LTD.,Kanengo,Arthur Mpama,999046570,abmpama@yahoo.co.uk,"Box 31245, Lilongwe 8",Chikwawa,,N/A,N/A,Chikwawa,GL75/2018,5,1/4/2020,1/4/2019,NWRA,240,Borehole,Irrigation,"10,000.00","290,000.00",no,no,no,no,no,,,,,
Ground Water,NWRA/1294,FISD Company LTD.,Kanengo,Arthur Mpama,999046571,abmpama@yahoo.co.uk,"Box 31245, Lilongwe 9",Chikwawa,,690358,8233492,Chikwawa,GL87/2018,5,1/4/2020,1/4/2019,NWRA,15,Borehole,Irrigation,"10,000.00","290,000.00",no,no,no,no,no,,,,,
Ground Water,NWRA/1294,FISD Company LTD.,Kanengo,Arthur Mpama,999046572,abmpama@yahoo.co.uk,"Box 31245, Lilongwe 10",Chikwawa,,734843,8116823,Chikwawa,GL88/2018,5,1/4/2020,1/4/2019,NWRA,180,Borehole,Irrigation,"10,000.00","290,000.00",no,no,no,no,no,,,,,
Ground Water,NWRA/1295,Haidar Diab,"Njewa, Lilongwe",N/A,N/A,N/A,"Box 781, Lilongwe",Plot no. 62/05,,576605,8455445,Lilongwe,GL76/2018,5,1/4/2020,1/4/2019,NWRA,5,Borehole,Bottled Water,"10,000.00","290,000.00",no,no,no,no,no,,,,,
Ground Water,NWRA/1295,Haidar Diab,"Njewa, Lilongwe",N/A,N/A,N/A,"Box 781, Lilongwe","Dairy Farm, Lilongwe",,N/A,N/A,Lilongwe,GL46/2007,5,20/3/2018,20/3/2008,NWRA,5,Borehole,Industrial ,"10,000.00","290,000.00",no,no,no,no,no,no,no,no,no,no
Ground Water,NWRA/1295,Haidar Diab,"Njewa, Lilongwe",N/A,N/A,N/A,"Box 781, Lilongwe","Dairy Farm, Lilongwe",,N/A,N/A,Lilongwe,GL47/2007,5,20/3/2018,20/3/2008,NWRA,5,Borehole,Industrial ,"10,000.00","290,000.00",no,no,no,no,no,no,no,no,no,no
Ground Water,NWRA/1295,Haidar Diab,"Njewa, Lilongwe",N/A,N/A,N/A,"Box 781, Lilongwe","Dairy Farm, Lilongwe",,N/A,N/A,Lilongwe,GL48/2007,5,20/3/2018,20/3/2008,NWRA,5,Borehole,Industrial ,"10,000.00","290,000.00",no,no,no,no,no,no,no,no,no,no
Ground Water,NWRA/1296,Chilinga WUA,"Chilinga, Phalombe",N/A,N/A,N/A,"c/o Project Manager, Care and Share Malawi, Box 41, Chilinga, Phalombe",Phalombe,,796588,8254126,Phalombe,GL77/2018,5,1/4/2020,1/4/2019,NWRA,5,Borehole,Irrigation,"10,000.00","290,000.00",no,no,no,no,no,,,,,
Ground Water,NWRA/1297,Mtsiliza LEA School,"Mtsiliza, Lilongwe",Mr Kamphandira,999386628,N/A,"P/Bag 243, Lilongwe","Mtsiliza, Lilongwe",,579685,8467733,Lilongwe,GL79/2018,5,30/3/2025,1/4/2020,NWRA,13,Borehole,Domestic, -   , -   ,no,no,no,no,no,,,,,
Ground Water,NWRA/1298,Mvama CCAP,"Mvama, Area 49, Lilongwe",Gibson,995415459,N/A,"Box 4202, Kanengo, Lilongwe 4","Mvama, Area 49, Lilongwe",,580939,8461774,Lilongwe,GL80/2018,5,1/4/2020,1/4/2019,NWRA,2,Borehole,Domestic,"10,000.00","290,000.00",no,no,no,no,no,,,,,
Ground Water,NWRA/1299,Tikondane Care for Children on/off Streets,Lilongwe,Jailosi Tikondane ,0999919330/01724734,tikondane.admin@africa-online.net,"Box 121, Lilongwe",Lilongwe,,584177,8453376,Lilongwe,GL89/2018,5,1/4/2020,1/4/2019,NWRA,3,Borehole,Domestic,"10,000.00","290,000.00",no,no,no,no,no,,,,,
Ground Water,NWRA/1270,James Maxwell Misinde,Zalewa Service Station,James Maxwell Misinde,993536300/999426484,zalewa.ss@gmail.com,"Box 2644, Blantyre ",Zalewa Filling Station,,N/A,N/A,Neno,GL179/2017,5,8/1/2019,9/1/2018,NWRA,5,Shire River,Domestic/Irrigation,"20,000.00","290,000.00",no,no,no,no,no,no,,,,
Ground Water,NWRA/1271,Malawi Prisons,Blantyre,N/A,N/A,N/A,"C/o Chief Commissioner of Prisons, Box 28, Zomba",Blantyre,,N/A,N/A,Blantyre,GL180/2017,5,8/1/2019,9/1/2018,NWRA,4,Borehore,Domestic,"10,000.00","290,000.00",no,no,no,no,no,no,,,,
Ground Water,NWRA/1272,S.G Mwale ,Lilongwe,S.G Mwale,N/A,N/A,"C/o National Registration Bureau, P/Bag B318, Lilongwe 3",Ntchisi,,N/A,N/A,Ntchisi,GL182/2017,5,8/1/2019,9/1/2018,NWRA,4,Borehore,Domestic,"10,000.00","290,000.00",no,no,no,no,no,no,,,,
Ground Water,NWRA/1273,CAMCO,Area 47/2/388/2,ZhiCheng Liu,888851888,CAMCO-BT@VIP.I63.com,"Box 2626, Lilongwe",Area 47/2/388/2,,N/A,N/A,Lilongwe,GL183/2017,5,8/1/2019,9/1/2018,NWRA,10,Borehore,Construction,"10,000.00","290,000.00",no,no,no,no,no,no,,,,
Ground Water,NWRA/1284,Sovereign Services LTD,Alimoni Village T/A Khongoni,N/A,N/A,N/A,"P/B 30523, Lilongwe ",Alimoni Village T/A Khongoni,,545195,8465400,Lilongwe,GL504/2023,5,28/4/2028,29/4/2023,NWRA,0,Borehole,Monitoring Well,"10,000.00","290,000.00",0,0,0,0,0,0,0,0,0,0
Ground Water,NWRA/1284,Sovereign Services LTD,"Chigendele Village, T/A Kabudula",N/A,N/A,N/A,"P/B 30523, Lilongwe ","Chigendele Village, T/A Kabudula",,548600,8478600,Lilongwe,GL505/2023,5,28/4/2028,29/4/2023,NWRA,0,Borehole,Monitoring Well,"10,000.00","290,000.00",0,0,0,0,0,0,0,0,0,0
Ground Water,NWRA/1284,Sovereign Services LTD,Alimoni Village T/A Khongoni,N/A,N/A,N/A,"P/B 30523, Lilongwe ",Alimoni Village T/A Khongoni,,544788,845293,Lilongwe,GL506/2024,5,28/4/2028,29/4/2023,NWRA,5.94,Borehole,Domestic,"10,000.00","290,000.00",0,0,0,0,0,0,0,0,0,0
Ground Water,NWRA/1284,Sovereign Services LTD,"Nthala Village, T/A Kabudula",N/A,N/A,N/A,"P/B 30523, Lilongwe ","Nthala Village, T/A Kabudula",,547675,8467617,Lilongwe,GL506/2025,5,28/4/2028,29/4/2023,NWRA,5.94,Borehole,Domestic,"10,000.00","290,000.00",0,0,0,0,0,0,0,0,0,0
Ground Water,NWRA/1284,Sovereign Services LTD,"Bowa Village, T/A Khongoni",N/A,N/A,N/A,"P/B 30523, Lilongwe ","Bowa Village, T/A Khongoni",,543435,8466957,Lilongwe,GL508/2026,5,28/4/2028,29/4/2023,NWRA,4.6,Borehole,Domestic,"10,000.00","290,000.00",0,0,0,0,0,0,0,0,0,0
Ground Water,NWRA/1284,Sovereign Services LTD,"Kalumbi Village, T/A Kabudula",N/A,N/A,N/A,"P/B 30523, Lilongwe ","Kalumbi Village, T/A Kabudula",,545345,8471730,Lilongwe,GL509/2027,5,28/4/2028,29/4/2023,NWRA,3,Borehole,Domestic,"10,000.00","290,000.00",0,0,0,0,0,0,0,0,0,0
Ground Water,NWRA/1284,Sovereign Services LTD,"Makuta Village, T/A Kabudula",N/A,N/A,N/A,"P/B 30523, Lilongwe ","Makuta Village, T/A Kabudula",,546050,8469490,Lilongwe,GL510/2028,5,28/4/2028,29/4/2023,NWRA,2.3,Borehole,Domestic,"10,000.00","290,000.00",0,0,0,0,0,0,0,0,0,0
Ground Water,NWRA/1284,Sovereign Services LTD,"Majeni/Jentala Village, T/A Khongoni",N/A,N/A,N/A,"P/B 30523, Lilongwe ","Majeni/Jentala Village, T/A Khongoni",,541935,8468644,Lilongwe,GL511/2029,5,28/4/2028,29/4/2023,NWRA,2.8,Borehole,Domestic,"10,000.00","290,000.00",0,0,0,0,0,0,0,0,0,0
Ground Water,NWRA/1284,Sovereign Services LTD,"Zamula Village, T/A Khongoni",N/A,N/A,N/A,"P/B 30523, Lilongwe ","Zamula Village, T/A Khongoni",,539536,8472406,Lilongwe,GL512/2030,5,28/4/2028,29/4/2023,NWRA,0,Borehole,Monitoring Well,"10,000.00","290,000.00",0,0,0,0,0,0,0,0,0,0
Ground Water,NWRA/1284,Sovereign Services LTD,"Matekwe Village, T/A Khongoni",N/A,N/A,N/A,"P/B 30523, Lilongwe ","Matekwe Village, T/A Khongoni",,543999,8468197,Lilongwe,GL513/2031,5,28/4/2028,29/4/2023,NWRA,0,Borehole,Monitoring Well,"10,000.00","290,000.00",0,0,0,0,0,0,0,0,0,0
Ground Water,NWRA/1284,Sovereign Services LTD,"Kwenje Village, T/A Kabudula",N/A,N/A,N/A,"P/B 30523, Lilongwe ","Kwenje Village, T/A Kabudula",,543799,8471799,Lilongwe,GL514/2032,5,28/4/2028,29/4/2023,NWRA,0,Borehole,Monitoring Well,"10,000.00","290,000.00",0,0,0,0,0,0,0,0,0,0
Ground Water,NWRA/1284,Sovereign Services LTD,"Semu Village, T/A Khongoni",N/A,N/A,N/A,"P/B 30523, Lilongwe ","Semu Village, T/A Khongoni",,540198,8479598,Lilongwe,GL515/2033,5,28/4/2028,29/4/2023,NWRA,0,Borehole,Monitoring Well,"10,000.00","290,000.00",0,0,0,0,0,0,0,0,0,0
Ground Water,NWRA/1284,Sovereign Services LTD,"Kapudzama Village, T/A Khongoni",N/A,N/A,N/A,"P/B 30523, Lilongwe ","Kapudzama Village, T/A Khongoni",,544503,8466864,Lilongwe,GL516/2034,5,28/4/2028,29/4/2023,NWRA,2,Borehole,Domestic,"10,000.00","290,000.00",0,0,0,0,0,0,0,0,0,0
Ground Water,NWRA/1284,Sovereign Services LTD,"Mbalani Village, T/A Kabudula",N/A,N/A,N/A,"P/B 30523, Lilongwe ","Mbalani Village, T/A Kabudula",,547001,8474993,Lilongwe,GL517/2035,5,28/4/2028,29/4/2023,NWRA,0,Borehole,Monitoring Well,"10,000.00","290,000.00",0,0,0,0,0,0,0,0,0,0
Ground Water,NWRA/1284,Sovereign Services LTD,"Thumba Village, T/A Kabudula",N/A,N/A,N/A,"P/B 30523, Lilongwe ","Thumba Village, T/A Kabudula",,546608,8467823,Lilongwe,GL518/2036,5,28/4/2028,29/4/2023,NWRA,0,Borehole,Monitoring Well,"10,000.00","290,000.00",0,0,0,0,0,0,0,0,0,0
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Pila Vg. T/A Bwananyambi,Mangochi",,777470,8391239,Mangochi,GL5/2017,5,8/1/2019,9/1/2014,NWRA,2,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Kandulu VG, T/A Bwananyambi",,770463,8379942,Mangochi,GL6/2017,5,8/1/2019,9/1/2014,NWRA,2,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Chikoleka CBCC, T/A Bwananyambi",,766279,8369248,Mangochi,GL7/2017,5,8/1/2019,9/1/2014,NWRA,2,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Mtukula CBCC, T/A Bwananyambe",,773053,8370624,Mangochi,GL8/2017,5,8/1/2019,9/1/2014,NWRA,2,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Mpita 11 CCBC, T/A Bwananyama",,759339,8436419,Mangochi,GL9/2017,5,8/1/2019,9/1/2014,NWRA,2,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Mtanga VG, T.A Jalasi",,778992,8410157,Mangochi,GL10/2017,5,8/1/2019,9/1/2014,NWRA,2,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Mponda VG, T/A Jalasi",,759051,8415597,Mangochi,GL11/2017,5,8/1/2019,9/1/2014,NWRA,2,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Mdima VG, T/A Jalasi",,757910,840183,Mangochi,GL12/2017,5,8/1/2019,9/1/2014,NWRA,2,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Mikundi VG, T/A Bwananyambi",,779643,8388764,Mangochi,GL13/2017,5,8/1/2019,9/1/2014,NWRA,2,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Mzinda VG, T/A Bwananyambi",,773644,8374512,Mangochi,GL14/2017,5,8/1/2019,9/1/2014,NWRA,2,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Nambunda CCBC, T/A Bwananyambi",,785338,8396685,Mangochi,GL15/2017,5,8/1/2019,9/1/2014,NWRA,2,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Mlembe VG, T/A Bwananyambi",,764419,8384549,Mangochi,GL16/2017,5,8/1/2019,9/1/2014,NWRA,2,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Mpama CBCC, T/A Bwananyambi",,766007,8383741,Mangochi,GL17/2017,5,8/1/2019,9/1/2014,NWRA,2,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Mpatila VG, T/A Bwananyambi",,774079,8375935,Mangochi,GL18/2017,5,8/1/2019,9/1/2014,NWRA,2,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Mwayiwathu CBCC, T/A, Bwananyambi",,778426,8394469,Mangochi,GL19/2017,5,8/1/2019,9/1/2014,NWRA,2,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Mjatu VG, T/A Bwananyambi",,776529,8384476,Mangochi,GL20/2017,5,8/1/2019,9/1/2014,NWRA,2,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Mkawanga CBCC, T/A Bwananyambi",,766271,8383199,Mangochi,GL21/2017,5,8/1/2019,9/1/2014,NWRA,2,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Mkwesa VG, T/A Bwananyambi",,787481,8401973,Mangochi,GL22/2017,5,8/1/2019,9/1/2014,NWRA,2,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Milepa VG, T/A Bwananyambi",,778838,8395106,Mangochi,GL23/2017,5,8/1/2019,9/1/2014,NWRA,2,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Njathu VG, T/A Bwananyambi",,776529,8384476,Mangochi,GL25/2017,5,8/1/2019,9/1/2014,NWRA,2,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Malukula VG, T/A Bwananyambi",,774004,8373024,Mangochi,GL29/2017,5,8/1/2019,9/1/2014,NWRA,2,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Masuku CCBC, T/A Bwananyambi",,778831,8396460,Mangochi,GL30/2017,5,8/1/2019,9/1/2014,NWRA,2,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Chiboli VG, T/A Kafuzira",,N/A,N/A,Nkhotakota,GL63/2017,5,8/1/2019,9/1/2014,NWRA,4,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe",Mbuto VG T/A Masula,,N/A,N/A,Lilongwe,GL64/2017,5,8/1/2019,9/1/2014,NWRA,4,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Mbedza VG, T/A Mlonyeni",,N/A,N/A,Mchinji,GL65/2017,5,8/1/2019,9/1/2014,NWRA,4,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Tikoliwe VG, T/A Mlonyeni",,N/A,N/A,Mchinji,GL66/2017,5,8/1/2019,9/1/2014,NWRA,4,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Sankhani VG, T/A Mlonyeni",,N/A,N/A,Mchinji,GL67/2017,5,8/1/2019,9/1/2014,NWRA,4,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Chinedi VG, T/A Chiseka",,N/A,N/A,Mchinji,GL68/2017,5,8/1/2019,9/1/2014,NWRA,4,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Mkwinda VG, T/A Chiseka",,N/A,N/A,Lilongwe,GL69/2017,5,8/1/2019,9/1/2014,NWRA,4,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Matolosi VG, T/A Chiseka",,N/A,N/A,Lilongwe,GL70/2017,5,8/1/2019,9/1/2014,NWRA,4,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Kuchiweta VG, T/A Chiseka",,N/A,N/A,Lilongwe,GL71/2017,5,8/1/2019,9/1/2014,NWRA,4,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Mayilosi VG, T/A Chiseka",,N/A,N/A,Lilongwe,GL72/2017,5,8/1/2019,9/1/2014,NWRA,4,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Goneka VG, T/A Chiseka",,N/A,N/A,Lilongwe,GL73/2017,5,8/1/2019,9/1/2014,NWRA,4,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Milimbo VG, T/A Mlonyeni",,N/A,N/A,Mchinji,GL74/2017,5,8/1/2019,9/1/2014,NWRA,4,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Ndawala VG, T/A Mlonyeni",,N/A,N/A,Mchinji,GL75/2017,5,8/1/2019,9/1/2014,NWRA,4,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Kamwendo VG, T/A Masula",,N/A,N/A,Lilongwe,GL76/2017,5,8/1/2019,9/1/2014,NWRA,4,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
Ground Water,NWRA/1252,Feed The Children,"Njewa, Lilongwe",N/A,N/A,N/A,"P/B 31611, Lilongwe","Kamphinda VG, T/A Ndindi",,N/A,N/A,Salima,GL77/2017,5,8/1/2019,9/1/2014,NWRA,4,Borehole,Domestic, -   , -   ,0,0,0,0,0,0,0,0,0,
